Strain	Isotype	Source Lab	Isolated By	Sampled By	Latitude	Longitude	City	State	Country	Isolation Date	notes
AB1	AB1	CGC	D. Riddle and A. Bird	D. Riddle and A. Bird	-34.93	138.59	Adelaide	South Australia	Australia	only year (1983) is known	Tc1 pattern VII
AB2	CB4858	CGC	D. Riddle and A. Bird	D. Riddle and A. Bird	-34.93	138.59	Adelaide	South Australia	Australia	only year (1983) is known	Sampled at the Australian Wine Institute grounds
AB3	CB4858	CGC	D. Riddle and A. Bird	D. Riddle and A. Bird	-34.93	138.59	Adelaide	South Australia	Australia	only year (1983) is known	Sampled at the Waite Agricultural Research Institue nursery plots
AB4	CB4858	CGC	D. Riddle and A. Bird	D. Riddle and A. Bird	-34.93	138.59	Adelaide	South Australia	Australia	only year (1983) is known	Tc1 pattern VIII
BRC20067	BRC20067	BRC	C.-Y. Kao	J.Wang	24.072954	121.169736	""	Taiwan Province	Taiwan	2012-01-13	
CB4852	CB4852	CGC		Unknown			""	""	""	pre-1966	Isolated by workers at Imperial College, London. Obtained by S. Brenner in 1966 and kept in liquid medium for three years before freezing
CB4854	CB4854	CGC	C.D. Johnson	C.D. Johnson	34.189	-118.131	Altadena	California	United States	only month/year is known (December 1973)	CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973
CB4856	CB4856	CGC	L. Hollen	L. Hollen	21.33	-157.86	Honolulu	Hawaii	United States	1972-08-01	Isolated from an unknown Hawaiian island pineapple field
CB4932	CB4932	CGC	P.S. Grewal	P.S. Grewal	51.02	-3.1	Taunton	England	United Kingdom	pre-1991	unique Tc1 pattern
CX11254	CX11254	CX	A. Sivasundar	A. Sivasundar	34.130138	-118.114835	Los Angeles	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
CX11262	CX11262	CX	A. Sivasundar	A. Sivasundar	34.130138	-118.114835	San Marino	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
CX11264	CX11264	CX	A. Sivasundar	A. Sivasundar	34.130138	-118.114835	San Marino	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
CX11271	CX11271	CX	A. Sivasundar	A. Sivasundar	34.13712	-118.12532	Pasadena	California	United States	exact location at CalTech is unknown	isolated at California Institue of Technology
CX11276	CX11276	CX	A. Sivasundar	A. Sivasundar	34.20111	-118.21198	La Cañada Flintridge	California	United States	exact location in garden is unknown	isolated at Decanso Gardens
CX11285	CX11285	CX	A. Sivasundar	A. Sivasundar	34.14331	-118.05496	Arcadia	California	United States	exact location is unknown	isolated in Los Angeles Arboretum
CX11292	CX11292	CX	A. Sivasundar	A. Sivasundar	34.13531	-118.30582	Los Angeles	California	United States	exact location in park is unknown	isolated in Griffith Park
CX11307	CX11307	CX	A. Sivasundar	A. Sivasundar	34.12946	-118.10987	San Marino	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
CX11314	CX11314	CX	A. Sivasundar	A. Sivasundar	34.12946	-118.10987	San Marino	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
CX11315	CX11315	CX	A. Sivasundar	A. Sivasundar	34.12946	-118.10987	San Marino	California	United States	exact location in garden is unknown	isolated in Huntington Gardens
DL200	DL200	DL	D. Denver	D. Denver	9.03	38.74	Addis Ababa	Oromia	Ethiopia	only year and month (Dec. 2007) are known	
DL226	DL226	DL	C. Hilburn	C. Hilburn	44.5633	-123.2821	Corvallis	Oregon	United States	only year (2008) is known	
DL238	DL238	DL	J. Knapp	J. Knapp	19.22	-155.82	Captain Cook	Hawaii	United States	2008-07-15	
ECA243	CB4851	CGC	V. Nigon	V. Nigon	44.85	0.48	Bergerac	Aquitaine	France	pre-1949	Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.
ECA245	CB4853	CGC		C.D. Johnson	34.171	-118.131	Altadena	California	United States	only month/year is known (May 1974)	Low copy Tc1; pattern III
ECA246	CB4853	CB		C.D. Johnson	34.189	-118.131	Altadena	California	United States	only month/year is known (May 1974)	Low copy Tc1; pattern III
ECA248	CB4855	CB		T. Doniach	37.44	-122.14	Palo Alto	California	United States	only year (1982) is known	Low copy Tc1, pattern VI
ECA249	CB4857	CB		E.M. Hedgecock	34.096	-117.719	Claremont	California	United States	only month/year is known (November 1972)	Low copy Tc1, pattern II
ECA250	CB4857	CB		E.M. Hedgecock	34.096	-117.719	Claremont	California	United States	only month/year is known (November 1972)	Low copy Tc1, pattern II
ECA251	CB4858	CGC		E.M. Hedgecock	34.1	-118.1	San Gabriel	California	United States	only year (1973) is known; collected in the summer	this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).
ECA252	ECA252	CB		E.M. Hedgecock	34.1	-118.1	San Gabriel	California	United States	only year (1973) is known; collected in the summer	this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555).
ECA253	N2	CGC		W. Nicholas	51.45	-2.59	Bristol	England	United Kingdom	only year (1951) is known	""
ECA254	N2	CFB		W. Nicholas	51.45	-2.59	Bristol	England	United Kingdom	only year (1951) is known	""
ECA259	PB306	CGC	S. Baird	S. Baird			""	""	""	1998-11-28	Porcellio scaber obtained from Connecticut Valley Biological Supply
ECA36	ECA36	ECA	K. Ly	I. Ly	-36.893333	174.745529	Auckland	Auckland	New Zealand	2013-07-27	
ED3005	ED3005	VX	A. Cutter	A. Cutter	55.94	-3.36	Ingliston	Scotland	United Kingdom	2004-10-25	from a West Mains allotment public vegetable garden near Edinburgh Scotland
ED3011	ED3011	VX	A. Cutter	A. Cutter	55.92	-3.19	Edinburgh	Scotland	United Kingdom	2004-11-11	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)
ED3012	ED3012	VX	A. Cutter	A. Cutter	55.92	-3.19	Edinburgh	Scotland	United Kingdom	2004-11-26	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)
ED3017	ED3017	VX	A. Cutter	A. Cutter	55.92	-3.19	Edinburgh	Scotland	United Kingdom	2004-12-03	isolated from Midmar Allotment public vegetable garden
ED3021	ED3005	VX	A. Cutter	A. Cutter	55.92	-3.19	Edinburgh	Scotland	United Kingdom	2004-12-03	isolated from Midmar Allotment public vegetable garden (field 1 plot 39)
ED3040	ED3040	VX	E. Dolgin	E. Dolgin	-26.166667	28.016667	Randburg	Gauteng	South Africa	2006-05-05	Isolated from compost from Jenny Pettifor's garden in the Paview neighborhood in Johannesburg, South Africa
ED3042	ED3048	VX	E. Dolgin	E. Dolgin	-33.366667	19.316667	""	Western Cape	South Africa	2006-05-05	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3046	ED3046	VX	E. Dolgin	E. Dolgin	-33.366667	19.316667	""	Western Cape	South Africa	2006-05-05	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3048	ED3048	VX	E. Dolgin	E. Dolgin	-33.366667	19.316667	""	Western Cape	South Africa	2006-04-02	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3049	ED3049	VX	E. Dolgin	E. Dolgin	-33.366667	19.316667	""	Western Cape	South Africa	2006-04-02	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3052	ED3052	VX	E. Dolgin	E. Dolgin	-33.366667	19.316667	""	Western Cape	South Africa	2006-05-05	Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3057	ED3073	""	""	""			""	""	""	""	""
ED3072	ED3073	""	""	""			""	""	""	""	""
ED3073	ED3073	VX	E. Dolgin	E. Dolgin	-1.083333	36.65	""	Nakuru	Kenya	2006-05-17	Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya
ED3077	ED3077	VX	E. Dolgin	E. Dolgin	-1.316667	36.8	""	Kajiado	Kenya	2006-05-17	solated from leaf litter from the Uhuru Gardens public park in the south part
EG4347	EG4347	EG	M. Ailion	M. Ailion	44.04789	-123.07108	Eugene	Oregon	United States	2006-10-09	
EG4348	EG4349	EG	M. Ailion	M. Ailion	40.77167	-111.87316	Salt Lake City	Utah	United States	2006-10-02	
EG4349	EG4349	EG	M. Ailion	M. Ailion	40.771467	-111.87316	Salt Lake City	Utah	United States	2006-10-02	
EG4724	EG4724	EG	M. Ailion	M. Ailion	41.6288	-8.3476	Amares	Braga	Portugal	2007-03-28	
EG4725	EG4725	EG	M. Ailion	M. Ailion	41.6288	-8.3476	Amares	Braga	Portugal	2007-03-28	
EG4946	EG4946	EG	M. Ailion	G. Hollopeter	40.72596	-111.82184	Salt Lake City	Utah	United States	2007-09-27	
GXW1	GXW1	VX	G. Wang	G. Wang	30.542889	114.419828	Wuhan Shi	Hubei Sheng	China	2010-11-05	soil under kiwi fruit in botanical garden
JT11398	JT11398	JT	J. Kemner	J. Kemner	47.763944	-122.275484	Lake Forest Park	Washington	United States	2003-12-01	Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males.
JU1088	JU1088	JU	M-A. Félix	M-A. Félix	34.7613	138.0149	Kakegawa-shi	Shizuoka-ken	Japan	2007-03-14	Isolated by MAF from soil sampled on 14 March 2007 in the Kacho-en aviary in Kakegawa, Shizuoka prefecture, Japan. May not be independent from JU1083; was contaminated with a Microbacterium nematophilum-like phenotype (frozen in Q47).
JU1172	JU1172	JU	M-A. Félix	M-A. Félix	-36.87	-73.04	Concepción	Región del Bío Bío	Chile	only month/year (April 2007) is known	Isolated from a sample of soil (compost) in a pot with rotting tomatoes collected in April 2007 in Concepcion, Chile, in the Villuco area, 3 km SE of the town.
JU1200	JU1200	JU	T. Page	T. Page	55.577	-4.6	Dundonald	Scotland	United Kingdom	2007-08-01	Isolated by Tony Page from a compost heap sample recovered on 1 Aug 2007 in SouthWest Scotland 4°36.0’ West 55°34.6’ North.
JU1212	JU1212	JU	M-A. Félix	M-A. Félix	48.71	-3.81	Plougasnou	Bretagne	France	2007-09-24	Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France.
JU1213	JU1213	JU	M-A. Félix	M-A. Félix	48.71	-3.81	Plougasnou	Bretagne	France	2007-09-24	Isolated by MAF from a rotting apple collected on 24 Sep 07 in Primel, France.
JU1242	JU1242	JU	M-A. Félix	M-A. Félix	49.1269	1.9595	Marines	Île-de-France	France	2007-10-14	Isolated from a small black slug (Deroceras?) collected in Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07 below the apple tree with apples #6&7. Not bleached.
JU1246	JU1246	JU	M-A. Félix	M-A. Félix	49.12618	1.96152	Marines	Île-de-France	France	2007-10-14	Isolated from a rotting apple (#14) collected above Santeuil, Viosne valley, Val d’Oise, on 14 Oct 07. Egl adult on 15 Oct. Bleached.
JU1395	JU1395	JU	M-A. Félix	M-A. Félix	47.2199	0.04619	Montsoreau	Pays de la Loire	France	2008-03-01	Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394.
JU1400	JU1400	JU	M-A. Félix	M-A. Félix	37.3845	-5.988	Sevilla	Andalucía	Spain	2008-03-29	Isolated from rotting orange fruits, Garden Catalina de Ribera, Sevilla, Spain sampled on 29 Mar 08 by MAF. Not bleached.
JU1401	JU1409	JU	M-A. Félix	M-A. Félix	37.4721	-5.6331	Carmona	Andalusia	Spain	2008-03-31	Isolated from Rumina decollata snail #4, sampled in front of the Parador of Carmona, Spain on 31 Mar 08 by MAF. Plated 3 Apr 08. Isolated as adult on 9 Apr 08.
JU1409	JU1409	JU	M-A. Félix	M-A. Félix	37.468	-5.637	Carmona	Andalucía	Spain	2008-03-31	Isolated from rotting Opuntia ficus-indica cactus fruit, sampled next to the road below the Parador of Carmona, Spain on 31 Mar 08 by MAF (approx. 400 m from JU1400-8). Plated 3 Apr 08. Isolated as adult on 4 Apr 08 (large population). Not bleached, contaminants kept.
JU1440	JU1440	JU	M-A. Félix	M-A. Félix	41.41307	2.15231	Barcelona	Catalunya	Spain	2008-06-09	Isolated from rotting palm fruit sampled by MAF on 9 June 2008 in the Park Guëll, Barcelona, Spain. Picked as young adult on 11 June 2008.
JU1491	JU1491	JU	M-A. Félix	M-A. Félix	46.63	1.06	Le Blanc	Centre	France	2008-08-17	Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.
JU1516	JU1581	JU	M-A. Félix	M-A. Félix	48.7015	2.1725	Orsay	Île-de-France	France	2008-09-09	Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.
JU1530	JU1530	JU	M-A. Félix	M-A. Félix	48.7015	2.1725	Orsay	Île-de-France	France	2008-09-09	Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.
JU1568	JU1568	JU	M-A. Félix	M-A. Félix	48.8092	2.3862	Ivry-sur-Seine	Île-de-France	France	2008-10-05	Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.
JU1580	JU1580	JU	M-A. Félix	M-A. Félix	48.7015	2.1725	Orsay	Île-de-France	France	2008-10-06	Isolated from rotting apple O87 (Calville Rouge d’Oullins) sampled by MAF in the Orsay (Essonne, France) orchard on 6 Oct 2008. Plated on 6 Oct, isolated as a L4 on 7 Oct.
JU1581	JU1581	JU	M-A. Félix	M-A. Félix	48.7015	2.1725	Orsay	Île-de-France	France	2008-10-23	Isolated from rotting apple O134 (Calville d’Août) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L2d on 23 Oct.
JU1586	JU1586	JU	M-A. Félix	M-A. Félix	46.63	1.06	Le Blanc	Centre	France	2008-11-03	Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.
JU1652	JU1652	JU		R. Giordano	-34.86	-56.19	Montevideo	Departamento de Montevideo	Uruguay	2009-01-01	Isolated from compost sampled in Montevideo, Uruguay
JU1896	JU1896	JU	M. Barkoulas	M. Barkoulas	37.999722	23.749673	Athens	Attica	Greece	2010-01-02	Collected on 2 Jan 10 from rotten olives in Alsos Polygonou, Athens, Greece.
JU2001	JU2001	JU	T. Belicard	T. Belicard	-21.1	55.5	""	Saint-Benoît	Reunion	only month/year (September 2010) is known	Sampled in La Réunion in Sep 2010 by Tony Belicard
JU2007	JU2007	JU	M. Barkoulas	M. Barkoulas	50.7608	-1.32413	Whitwell	England	United Kingdom	2010-10-16	Wild strain isolated by Michalis Barkoulas in Cowes, Isle of Wight, UK from rotten apples. Oct 2010
JU2316	JU2316	JU	M-A. Félix	M-A. Félix	38.7175	-9.1486	Lisbon	Lisbon	Portugal	2013-08-25	Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a post-dauer juvenile on 26 Aug. Same sample as JU2317 and JU2377
JU2464	JU2464	JU	L. Frezal	L. Lokmane	-13.155	-72.525	Aguas Calientes	Cusco	Peru	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult isolated on 9 Jan 2013
JU2466	JU2466	JU	L. Frezal	L. Lokmane	-13.257	-72.266	Ollantaytambo	Cusco	Peru	Only month/year (January 2013) is known	From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013
JU2467	JU2464	JU	L. Frezal	L. Lokmane	-13.155	-72.525	Aguas Calientes	Cusco	Peru	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal. Line started from an adult on 9 Jan 2013.
JU2468	JU2464	JU	L. Frezal	L. Lokmane	-13.155	-72.525	Aguas Calientes	Cusco	Peru	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult on 9 Jan 2013.
JU2513	JU2513	JU	M-A. Félix	M-A. Félix	38.26016	22.0736	""	Peloponnisos Dytiki Ellada ke Ionio	Greece	2013-05-07	Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736
