Isotype	Strain	Sequencing Run	Sequencing Library	Source	ReadGroup	Library Preparation Method	Trimming
BRC20067	BRC20067	UChicago	EA2	Andersen	UChicago-EA2-BRC20067	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
BRC20067	BRC20067	UChicago2	L008	Andersen	UChicago2-L008-BRC20067	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11262	CX11262	BGI2	RET6	Andersen	BGI2-RET6-CX11262	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11262	CX11262	BGI3	RET6a	Andersen	BGI3-RET6a-CX11262	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11276	CX11276	BGI1	RET2	Andersen	BGI1-RET2-CX11276	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11276	CX11276	BGI2	RET2	Andersen	BGI2-RET2-CX11276	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11276	CX11276	BGI3	RET2b	Andersen	BGI3-RET2b-CX11276	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11254	CX11254	BGI1	RET3	Andersen	BGI1-RET3-CX11254	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11254	CX11254	BGI2	RET3	Andersen	BGI2-RET3-CX11254	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11254	CX11254	BGI3	RET3b	Andersen	BGI3-RET3b-CX11254	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4855	ECA248	BGI1	RET4	Andersen	BGI1-RET4-ECA248	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4855	ECA248	BGI2	RET4	Andersen	BGI2-RET4-ECA248	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4855	ECA248	BGI3	RET4b	Andersen	BGI3-RET4b-ECA248	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4855	ECA248	Princeton1	PL_3	Princeton	Princeton1-PL_3-ECA248	Sonication	NA
CB4855	ECA248	Princeton1	PL_4	Princeton	Princeton1-PL_4-ECA248	Sonication	NA
CB4854	CB4854	BGI1	RET7	Andersen	BGI1-RET7-CB4854	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4854	CB4854	BGI2	RET7	Andersen	BGI2-RET7-CB4854	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4854	CB4854	BGI3	RET7a	Andersen	BGI3-RET7a-CB4854	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4854	CB4854	MMP	ML_2	MMP	MMP-ML_2-CB4854	Sonication	NA
CB4854	CB4854	MMP	ML_3	MMP	MMP-ML_3-CB4854	Sonication	NA
CB4854	CB4854	MMP	ML_5	MMP	MMP-ML_5-CB4854	Sonication	NA
CB4854	CB4854	MMP	ML_6	MMP	MMP-ML_6-CB4854	Sonication	NA
CB4854	CB4854	MMP	ML_7	MMP	MMP-ML_7-CB4854	Sonication	NA
CX11271	CX11271	BGI1	RET7	Andersen	BGI1-RET7-CX11271	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11271	CX11271	BGI2	RET7	Andersen	BGI2-RET7-CX11271	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11271	CX11271	BGI3	RET7a	Andersen	BGI3-RET7a-CX11271	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11271	CX11271	Princeton1	PL_21	Princeton	Princeton1-PL_21-CX11271	Sonication	NA
CB4857	ECA250	BGI1	RET6	Andersen	BGI1-RET6-ECA250	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4857	ECA250	BGI2	RET6	Andersen	BGI2-RET6-ECA250	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4857	ECA249	BGI3	RET1b	Andersen	BGI3-RET1b-ECA249	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4857	ECA250	BGI3	RET6b	Andersen	BGI3-RET6b-ECA250	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4857	ECA249	UChicago	EA1	Andersen	UChicago-EA1-ECA249	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4857	ECA249	UChicago2	L007	Andersen	UChicago2-L007-ECA249	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL200	DL200	BGI1	RET4	Andersen	BGI1-RET4-DL200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL200	DL200	BGI2	RET4	Andersen	BGI2-RET4-DL200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL200	DL200	BGI3	RET4a	Andersen	BGI3-RET4a-DL200	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4932	CB4932	BGI1	RET7	Andersen	BGI1-RET7-CB4932	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4932	CB4932	BGI2	RET7	Andersen	BGI2-RET7-CB4932	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4932	CB4932	BGI3	RET7b	Andersen	BGI3-RET7b-CB4932	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4932	CB4932	Princeton1	PL_13	Princeton	Princeton1-PL_13-CB4932	Sonication	NA
CB4932	CB4932	Princeton1	PL_14	Princeton	Princeton1-PL_14-CB4932	Sonication	NA
AB1	AB1	BGI1	RET2	Andersen	BGI1-RET2-AB1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
AB1	AB1	BGI2	RET2	Andersen	BGI2-RET2-AB1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
AB1	AB1	BGI3	RET2b	Andersen	BGI3-RET2b-AB1	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
AB1	AB1	MMP	ML_2	MMP	MMP-ML_2-AB1	Sonication	NA
AB1	AB1	MMP	ML_3	MMP	MMP-ML_3-AB1	Sonication	NA
AB1	AB1	MMP	ML_5	MMP	MMP-ML_5-AB1	Sonication	NA
AB1	AB1	MMP	ML_6	MMP	MMP-ML_6-AB1	Sonication	NA
AB1	AB1	MMP	ML_7	MMP	MMP-ML_7-AB1	Sonication	NA
AB1	AB1	Rockman	R096.2	Rockman	Rockman-R096.2-AB1	Sonication	NA
CX11315	CX11315	BGI1	RET1	Andersen	BGI1-RET1-CX11315	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11315	CX11315	BGI2	RET1	Andersen	BGI2-RET1-CX11315	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11315	CX11315	BGI3	RET1b	Andersen	BGI3-RET1b-CX11315	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11314	CX11314	BGI1	RET3	Andersen	BGI1-RET3-CX11314	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11314	CX11314	BGI2	RET3	Andersen	BGI2-RET3-CX11314	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11314	CX11314	BGI3	RET3b	Andersen	BGI3-RET3b-CX11314	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4851	ECA243	BGI1	RET3	Andersen	BGI1-RET3-ECA243	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4851	ECA243	BGI2	RET3	Andersen	BGI2-RET3-ECA243	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4851	ECA243	BGI3	RET3b	Andersen	BGI3-RET3b-ECA243	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4851	ECA243	Princeton1	PL_22	Princeton	Princeton1-PL_22-ECA243	Sonication	NA
CB4851	ECA243	Princeton1	PL_23	Princeton	Princeton1-PL_23-ECA243	Sonication	NA
CX11307	CX11307	BGI1	RET5	Andersen	BGI1-RET5-CX11307	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11307	CX11307	BGI2	RET5	Andersen	BGI2-RET5-CX11307	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11307	CX11307	BGI3	RET5a	Andersen	BGI3-RET5a-CX11307	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11264	CX11264	BGI1	RET5	Andersen	BGI1-RET5-CX11264	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11264	CX11264	BGI2	RET5	Andersen	BGI2-RET5-CX11264	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11264	CX11264	BGI3	RET5a	Andersen	BGI3-RET5a-CX11264	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11264	CX11264	Princeton1	PL_15	Princeton	Princeton1-PL_15-CX11264	Sonication	NA
CX11264	CX11264	Princeton1	PL_16	Princeton	Princeton1-PL_16-CX11264	Sonication	NA
ECA36	ECA36	UChicago	EA1	Andersen	UChicago-EA1-ECA36	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA36	ECA36	UChicago2	L007	Andersen	UChicago2-L007-ECA36	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11292	CX11292	BGI1	RET4	Andersen	BGI1-RET4-CX11292	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11292	CX11292	BGI2	RET4	Andersen	BGI2-RET4-CX11292	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11292	CX11292	BGI3	RET4b	Andersen	BGI3-RET4b-CX11292	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11292	CX11292	Princeton1	PL_13	Princeton	Princeton1-PL_13-CX11292	Sonication	NA
CX11292	CX11292	Princeton1	PL_14	Princeton	Princeton1-PL_14-CX11292	Sonication	NA
CB4856	CB4856	BGI1	RET1	Andersen	BGI1-RET1-CB4856	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4856	CB4856	BGI2	RET1	Andersen	BGI2-RET1-CB4856	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4856	CB4856	BGI3	RET1a	Andersen	BGI3-RET1a-CB4856	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4856	CB4856	MMP	ML_1	MMP	MMP-ML_1-CB4856	Sonication	NA
CB4856	CB4856	Princeton2	P	Princeton	Princeton2-P-CB4856	Sonication	NA
CB4856	CB4856	Rockman	R999.1	Rockman	Rockman-R999.1-CB4856	Sonication	NA
CB4856	CB4856	UChicago	EA1	Andersen	UChicago-EA1-CB4856	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4856	CB4856	UChicago2	L007	Andersen	UChicago2-L007-CB4856	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL226	DL226	BGI1	RET2	Andersen	BGI1-RET2-DL226	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL226	DL226	BGI2	RET2	Andersen	BGI2-RET2-DL226	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL226	DL226	BGI3	RET2b	Andersen	BGI3-RET2b-DL226	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI1	RET3	Andersen	BGI1-RET3-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI2	RET3	Andersen	BGI2-RET3-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ECA252	ECA252	BGI3	RET3b	Andersen	BGI3-RET3b-ECA252	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI1	RET3	Andersen	BGI1-RET3-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI2	RET3	Andersen	BGI2-RET3-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3011	ED3011	BGI3	RET3a	Andersen	BGI3-RET3a-ED3011	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI1	RET3	Andersen	BGI1-RET3-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI2	RET3	Andersen	BGI2-RET3-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA245	BGI2	RET6	Andersen	BGI2-RET6-ECA245	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	BGI3	RET3a	Andersen	BGI3-RET3a-ECA246	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA245	BGI3	RET6a	Andersen	BGI3-RET6a-ECA245	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4853	ECA246	MMP	ML_2	MMP	MMP-ML_2-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_3	MMP	MMP-ML_3-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_5	MMP	MMP-ML_5-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_6	MMP	MMP-ML_6-ECA246	Sonication	NA
CB4853	ECA246	MMP	ML_7	MMP	MMP-ML_7-ECA246	Sonication	NA
CB4853	ECA246	Princeton1	PL_13	Princeton	Princeton1-PL_13-ECA246	Sonication	NA
CB4853	ECA246	Princeton1	PL_14	Princeton	Princeton1-PL_14-ECA246	Sonication	NA
ED3012	ED3012	BGI1	RET6	Andersen	BGI1-RET6-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	BGI2	RET6	Andersen	BGI2-RET6-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	BGI3	RET6a	Andersen	BGI3-RET6a-ED3012	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3012	ED3012	Princeton1	PL_17	Princeton	Princeton1-PL_17-ED3012	Sonication	NA
CX11285	CX11285	BGI1	RET2	Andersen	BGI1-RET2-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	BGI2	RET2	Andersen	BGI2-RET2-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	BGI3	RET2a	Andersen	BGI3-RET2a-CX11285	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CX11285	CX11285	Princeton1	PL_10	Princeton	Princeton1-PL_10-CX11285	Sonication	NA
CX11285	CX11285	Princeton1	PL_11	Princeton	Princeton1-PL_11-CX11285	Sonication	NA
ED3005	ED3005	BGI1	RET5	Andersen	BGI1-RET5-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3005	BGI2	RET5	Andersen	BGI2-RET5-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3005	BGI3	RET5a	Andersen	BGI3-RET5a-ED3005	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3005	ED3021	MMP	ML_2	MMP	MMP-ML_2-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_3	MMP	MMP-ML_3-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_5	MMP	MMP-ML_5-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_6	MMP	MMP-ML_6-ED3021	Sonication	NA
ED3005	ED3021	MMP	ML_7	MMP	MMP-ML_7-ED3021	Sonication	NA
ED3048	ED3048	BGI1	RET4	Andersen	BGI1-RET4-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3048	BGI2	RET4	Andersen	BGI2-RET4-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3048	BGI3	RET4a	Andersen	BGI3-RET4a-ED3048	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3048	ED3042	MMP	ML_2	MMP	MMP-ML_2-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_3	MMP	MMP-ML_3-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_5	MMP	MMP-ML_5-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_6	MMP	MMP-ML_6-ED3042	Sonication	NA
ED3048	ED3042	MMP	ML_7	MMP	MMP-ML_7-ED3042	Sonication	NA
EG4349	EG4349	BGI2	RET6	Andersen	BGI2-RET6-EG4349	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4349	EG4349	BGI3	RET6a	Andersen	BGI3-RET6a-EG4349	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4349	EG4348	Rockman	R096.2	Rockman	Rockman-R096.2-EG4348	Sonication	NA
EG4347	EG4347	BGI1	RET3	Andersen	BGI1-RET3-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	BGI2	RET3	Andersen	BGI2-RET3-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	BGI3	RET3a	Andersen	BGI3-RET3a-EG4347	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4347	EG4347	Rockman	R096.4	Rockman	Rockman-R096.4-EG4347	Sonication	NA
ED3052	ED3052	BGI1	RET5	Andersen	BGI1-RET5-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	BGI2	RET5	Andersen	BGI2-RET5-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	BGI3	RET5b	Andersen	BGI3-RET5b-ED3052	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3052	ED3052	MMP	ML_2	MMP	MMP-ML_2-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_3	MMP	MMP-ML_3-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_5	MMP	MMP-ML_5-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_6	MMP	MMP-ML_6-ED3052	Sonication	NA
ED3052	ED3052	MMP	ML_7	MMP	MMP-ML_7-ED3052	Sonication	NA
EG4725	EG4725	BGI1	RET2	Andersen	BGI1-RET2-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	BGI2	RET2	Andersen	BGI2-RET2-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	BGI3	RET2a	Andersen	BGI3-RET2a-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	Princeton1	PL_20	Princeton	Princeton1-PL_20-EG4725	Sonication	NA
EG4725	EG4725	UChicago	EA1	Andersen	UChicago-EA1-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
EG4725	EG4725	UChicago2	L007	Andersen	UChicago2-L007-EG4725	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI1	RET1	Andersen	BGI1-RET1-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI2	RET1	Andersen	BGI2-RET1-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	BGI3	RET1a	Andersen	BGI3-RET1a-DL238	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
DL238	DL238	Princeton1	PL_12	Princeton	Princeton1-PL_12-DL238	Sonication	NA
DL238	DL238	Princeton1	PL_21	Princeton	Princeton1-PL_21-DL238	Sonication	NA
DL238	DL238	Princeton2	P	Princeton	Princeton2-P-DL238	Sonication	NA
ED3046	ED3046	BGI1	RET2	Andersen	BGI1-RET2-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	BGI2	RET2	Andersen	BGI2-RET2-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	BGI3	RET2b	Andersen	BGI3-RET2b-ED3046	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
ED3046	ED3046	Princeton1	PL_13	Princeton	Princeton1-PL_13-ED3046	Sonication	NA
ED3046	ED3046	Princeton1	PL_14	Princeton	Princeton1-PL_14-ED3046	Sonication	NA
CB4858	AB4	BGI1	RET2	Andersen	BGI1-RET2-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	ECA251	BGI1	RET4	Andersen	BGI1-RET4-ECA251	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	AB4	BGI2	RET2	Andersen	BGI2-RET2-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	ECA251	BGI2	RET4	Andersen	BGI2-RET4-ECA251	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
CB4858	AB4	BGI3	RET2a	Andersen	BGI3-RET2a-AB4	Tagmentation	ILLUMINACLIP:NexteraPE-PE.fa:2:80:10 MINLEN:45
